label,all_landmarks_visible,thumb_extended,index_extended,middle_extended,ring_extended,pinky_extended,wrist_dx_t0,wrist_dy_t0,wrist_vx_t0,wrist_vy_t0,wrist_ax_t0,wrist_ay_t0,index_tip_dx_t0,index_tip_dy_t0,index_tip_vx_t0,index_tip_vy_t0,index_tip_ax_t0,index_tip_ay_t0,wrist_dx_t1,wrist_dy_t1,wrist_vx_t1,wrist_vy_t1,wrist_ax_t1,wrist_ay_t1,index_tip_dx_t1,index_tip_dy_t1,index_tip_vx_t1,index_tip_vy_t1,index_tip_ax_t1,index_tip_ay_t1,wrist_dx_t2,wrist_dy_t2,wrist_vx_t2,wrist_vy_t2,wrist_ax_t2,wrist_ay_t2,index_tip_dx_t2,index_tip_dy_t2,index_tip_vx_t2,index_tip_vy_t2,index_tip_ax_t2,index_tip_ay_t2
2,1,1,1,0,0,0,0.01755,0.0475,0.15893,-0.00526,0.00029,0.00079,0.00265,-9e-05,0.0,0.0,0.0,0.0,0.07753,-0.07141,0.35022,-0.13547,0.00129,-0.00119,0.00584,-0.00226,2e-05,-3e-05,5e-05,-4e-05,-0.08234,0.02831,-0.41358,0.15459,-0.00137,0.00047,-0.00689,0.00258,-4e-05,3e-05,-0.00021,8e-05
2,1,1,1,0,0,0,0.13756,-0.00889,0.33675,-0.10515,0.00229,-0.00015,0.00561,-0.00175,0.0,0.0,0.0,0.0,-0.02492,-0.04896,0.21714,-0.06726,-0.00042,-0.00082,0.00362,-0.00112,-5e-05,-1e-05,-3e-05,1e-05,-0.06408,0.03944,-0.43554,0.17726,-0.00107,0.00066,-0.00726,0.00295,-1e-05,2e-05,-0.00018,7e-05
2,1,1,1,0,0,0,0.06711,-0.01322,0.25483,-0.12063,0.00112,-0.00022,0.00425,-0.00201,0.0,0.0,0.0,0.0,0.03189,0.00373,0.26923,0.00692,0.00053,6e-05,0.00449,0.00012,-1e-05,0.0,0.0,4e-05,-0.08924,0.02655,-0.45589,0.13466,-0.00149,0.00044,-0.0076,0.00224,-3e-05,1e-05,-0.0002,4e-05
2,1,1,1,0,0,0,-0.01085,0.03896,0.18334,-0.10391,-0.00018,0.00065,0.00306,-0.00173,0.0,0.0,0.0,0.0,0.06848,0.02866,0.2983,0.06841,0.00114,0.00048,0.00497,0.00114,2e-05,-0.0,3e-05,5e-05,-0.07083,0.00221,-0.4638,0.12439,-0.00118,4e-05,-0.00773,0.00207,-4e-05,-1e-05,-0.00021,2e-05
0,1,1,1,0,0,0,0.04024,0.03418,0.265,-0.05981,0.00067,0.00057,0.00442,-0.001,0.0,0.0,0.0,0.0,0.04522,0.01479,0.17791,0.02637,0.00075,0.00025,0.00297,0.00044,0.0,-1e-05,-2e-05,2e-05,-0.01427,0.08095,-0.13268,0.04145,-0.00024,0.00135,-0.00221,0.00069,-2e-05,2e-05,-9e-05,0.0
0,1,1,1,0,0,0,0.01669,0.04394,-0.1136,0.09728,0.00028,0.00073,-0.00189,0.00162,0.0,0.0,0.0,0.0,-0.01038,0.02537,-0.02235,0.06073,-0.00017,0.00042,-0.00037,0.00101,-1e-05,-1e-05,3e-05,-1e-05,0.01472,0.03451,0.30405,-0.0701,0.00025,0.00058,0.00507,-0.00117,1e-05,0.0,9e-05,-4e-05
0,1,1,1,0,0,0,-0.01117,0.03018,-0.32404,0.07206,-0.00019,0.0005,-0.0054,0.0012,0.0,0.0,0.0,0.0,0.07602,0.04747,0.33793,-0.02906,0.00127,0.00079,0.00563,-0.00048,2e-05,0.0,0.00018,-3e-05,-0.05568,-0.00141,-0.27909,0.1102,-0.00093,-2e-05,-0.00465,0.00184,-4e-05,-1e-05,-0.00017,4e-05
0,1,1,1,0,0,0,0.0063,0.00896,0.01794,-0.04258,0.0001,0.00015,0.0003,-0.00071,0.0,0.0,0.0,0.0,0.01888,0.03507,0.29363,0.00969,0.00031,0.00058,0.00489,0.00016,0.0,1e-05,8e-05,1e-05,0.01066,0.02061,0.03729,-0.01911,0.00018,0.00034,0.00062,-0.00032,-0.0,-0.0,-7e-05,-1e-05
0,1,1,1,0,0,0,-0.00413,0.04627,0.01132,0.05721,-7e-05,0.00077,0.00019,0.00095,0.0,0.0,0.0,0.0,0.0158,0.00657,0.23736,-0.04685,0.00026,0.00011,0.00396,-0.00078,1e-05,-1e-05,6e-05,-3e-05,0.00661,-0.02614,-0.00915,-0.01842,0.00011,-0.00044,-0.00015,-0.00031,-0.0,-1e-05,-7e-05,1e-05
0,1,1,1,0,0,0,0.02761,0.03007,0.15288,-0.0247,0.00046,0.0005,0.00255,-0.00041,0.0,0.0,0.0,0.0,0.0367,-0.04241,0.12755,-0.07898,0.00061,-0.00071,0.00213,-0.00132,0.0,-2e-05,-1e-05,-2e-05,-0.01501,0.00708,-0.01866,0.03998,-0.00025,0.00012,-0.00031,0.00067,-1e-05,1e-05,-4e-05,3e-05
