label,delta_x,delta_total,velocity,angle,delta_tip2,dist_thumb,dist_index,dist_middle,dist_ring,dist_pinky,index_ratio
0,-101,108.268,1.804,2.773,157.813,149.723,206.155,152.643,127.883,104.652,1.606
0,-103,108.784,1.813,2.814,168.36,189.156,162.197,122.201,82.024,49.244,1.92
0,-98,103.092,1.718,2.826,169.812,171.773,169.098,166.09,152.161,129.619,1.133
0,-99,101.637,1.694,2.913,186.462,155.396,196.217,213.909,204.355,162.985,1.013
0,-96,97.673,1.628,2.956,211.028,157.207,221.903,235.648,222.607,198.728,1.013
0,-87,88.119,1.469,2.982,226.106,152.751,271.361,251.857,201.358,211.646,1.224
0,-81,82.037,1.367,2.982,241.661,142.58,237.539,260.019,251.287,209.898,0.988
0,-70,72.035,1.201,2.903,253.428,146.294,240.635,261.031,254.012,224.698,0.976
0,-51,54.083,0.901,2.802,249.65,148.476,240.601,266.008,254.332,221.208,0.973
0,-40,45.177,0.753,2.658,237.211,148.977,242.72,261.765,254.386,224.902,0.983
0,-34,41.049,0.684,2.547,209.117,151.648,245.782,263.837,253.239,226.241,0.992
0,-23,32.527,0.542,2.356,155.756,165.158,248.944,264.683,253.239,228.659,1.0
0,41,59.414,0.99,0.809,64.0,176.641,248.395,264.017,253.9,222.468,1.006
0,40,57.28,0.955,0.798,92.914,176.918,244.283,256.265,246.84,206.09,1.033
0,43,64.444,1.074,0.84,186.271,158.6,232.261,229.244,179.978,150.602,1.245
0,21,49.659,0.828,1.134,216.449,143.892,198.6,193.259,177.46,158.256,1.126
0,20,48.332,0.806,1.144,183.0,148.647,216.707,217.959,190.276,171.207,1.122
0,16,52.498,0.875,1.261,196.698,176.162,218.248,226.612,215.745,189.528,1.036
0,33,56.613,0.944,0.948,219.018,177.485,233.6,243.655,228.432,197.74,1.046
0,30,70.682,1.178,1.132,93.723,175.414,237.901,253.397,236.603,203.571,1.029
0,16,74.733,1.246,1.355,122.053,171.977,240.786,254.876,236.603,204.941,1.037
0,-6,75.24,1.254,1.651,85.907,172.192,245.815,258.94,242.844,209.251,1.037
0,-33,81.025,1.35,1.99,68.68,179.847,251.575,263.181,242.495,211.851,1.052
0,-42,68.411,1.14,2.232,75.166,181.463,250.727,258.103,237.428,208.062,1.069
0,-53,74.25,1.237,2.366,108.977,181.463,247.419,256.681,235.478,203.953,1.066
0,-80,98.813,1.647,2.514,129.495,183.109,250.41,256.844,235.002,197.226,1.09
0,-100,115.603,1.927,2.616,154.302,166.964,243.181,251.873,228.327,188.733,1.091
0,-96,104.785,1.746,2.729,189.621,170.182,227.115,224.9,195.898,152.869,1.188
0,-102,107.838,1.797,2.811,224.804,169.806,201.062,196.596,188.175,170.074,1.087
0,-104,107.201,1.787,2.897,222.751,158.24,181.069,171.919,153.31,128.736,1.197
0,-108,111.826,1.864,2.879,213.016,134.893,175.411,194.18,186.325,167.314,0.961
0,-105,112.721,1.879,2.769,270.985,118.878,174.496,208.926,210.402,192.333,0.856
0,-97,105.309,1.755,2.742,255.392,106.733,185.219,219.529,219.911,206.886,0.86
0,-77,84.172,1.403,2.726,255.28,106.733,186.682,222.686,224.288,208.691,0.854
0,-69,72.422,1.207,2.833,223.893,105.513,188.282,227.985,229.059,210.829,0.846
0,-52,53.6,0.893,2.897,213.3,107.224,191.596,234.54,236.222,216.363,0.837
0,-31,31.145,0.519,3.045,146.014,109.567,198.882,241.423,240.468,221.219,0.849
0,-15,15.524,0.259,-2.881,100.623,120.067,206.93,247.421,244.346,221.822,0.87
0,6,12.53,0.209,-1.071,69.051,129.139,215.058,249.195,243.051,219.791,0.906
0,25,31.401,0.523,-0.65,47.074,142.888,224.243,248.888,240.208,215.676,0.955
0,41,48.549,0.809,-0.565,46.755,156.4,235.51,251.002,246.357,214.555,0.992
0,53,59.942,0.999,-0.486,59.093,163.466,243.477,247.978,224.86,209.619,1.07
0,74,79.48,1.325,-0.373,67.683,168.772,233.214,240.608,227.308,205.801,1.038
0,101,104.547,1.742,-0.261,69.462,168.241,202.596,218.103,226.102,200.823,0.942
0,107,108.342,1.806,-0.158,75.107,171.956,223.949,233.311,218.048,177.26,1.069
0,90,90.2,1.503,-0.067,129.027,174.141,228.589,222.407,190.924,149.215,1.219
0,95,95.131,1.586,0.053,175.385,184.201,217.81,203.325,176.604,139.054,1.259
0,95,95.525,1.592,0.105,226.173,187.579,155.193,128.082,105.119,84.119,1.467
0,103,104.235,1.737,0.154,273.007,209.848,192.338,195.898,177.8,143.003,1.117
0,109,111.005,1.85,0.19,309.131,170.473,217.598,204.453,197.497,168.238,1.145
0,117,119.641,1.994,0.211,341.646,158.619,213.6,232.002,216.945,185.397,1.01
0,119,121.396,2.023,0.199,369.173,177.8,232.777,236.58,224.368,190.937,1.071
0,126,128.082,2.135,0.181,403.983,170.836,229.943,228.037,215.407,188.298,1.092
0,130,132.197,2.203,0.183,428.939,166.901,229.985,229.915,212.953,186.904,1.096
0,128,129.877,2.165,0.17,429.93,188.608,229.532,222.8,212.603,186.317,1.108
0,122,125.399,2.09,0.233,451.306,193.093,226.753,220.057,211.218,184.968,1.104
0,109,114.481,1.908,0.311,454.569,186.035,221.0,215.669,209.06,183.636,1.09
0,101,108.632,1.811,0.377,448.879,185.151,208.71,203.593,195.318,170.156,1.1
